# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
170.1641107; 25.2244843; -0.9687045; -2.9899206; -0.1238242; 8.4590014; -6.9873693
170.5635570; 25.2745949; -1.3649055; -3.0427873; -0.1409444; 8.1223487; -6.4505447
170.9630033; 25.3023251; -1.7633310; -3.1026091; -0.1587492; 7.7986701; -5.8888352
171.3624495; 25.3047336; -2.1628019; 3.1134016; -0.1777240; 7.4909752; -5.3663820
171.7618958; 25.2788239; -2.5610565; 3.0385570; -0.1969447; 7.1991351; -4.4475167
172.1613421; 25.2216998; -2.9562610; 2.9563455; -0.2147171; 6.9479824; -3.2594609
172.5607884; 25.1312121; -3.3448005; 2.8691628; -0.2171411; 6.7579952; -2.7897176
172.9602346; 25.0070284; -3.7252227; 2.7833008; -0.2128263; 6.5910405; -3.5230802
173.3596809; 24.8501956; -4.0942813; 2.6948355; -0.2337230; 6.3739511; -4.7807038
173.7591272; 24.6567856; -4.4512538; 2.5941620; -0.2544667; 6.0669584; -3.8671634
174.1585734; 24.4315730; -4.7798370; 2.4838191; -0.2950548; 5.8067664; 2.6368001
174.5580197; 24.1744754; -5.0764084; 2.3728004; -0.2714626; 5.9854036; 2.7178341
174.9574660; 23.8846578; -5.3440992; 2.2661704; -0.2232672; 6.1641150; 2.4354290
175.3569122; 23.5686689; -5.5829117; 2.1707619; -0.2252181; 6.3199652; 1.7531781
175.7563585; 23.2243827; -5.7959578; 2.0782863; -0.2366650; 6.4298181; 2.1611409
176.1558048; 22.8712756; -5.9725001; 1.9929839; -0.2015447; 6.5627037; 2.6482291
176.5552510; 22.4985074; -6.1223400; 1.9132503; -0.1972932; 6.7219588; 3.0480075
176.9546973; 22.1146455; -6.2421904; 1.8333719; -0.1997079; 6.9007073; 3.1729264
177.3541436; 21.7266550; -6.3303788; 1.7557861; -0.1911031; 7.0819904; 3.2975240
177.7535899; 21.3308916; -6.3890493; 1.6807863; -0.1817975; 7.2656008; 3.4217828
178.1530361; 20.9316395; -6.4187602; 1.6099558; -0.1729393; 7.4513483; 3.5192985
178.5524824; 20.5322375; -6.4209721; 1.5437005; -0.1587022; 7.6376785; 3.7836816
178.9519287; 20.1330041; -6.3977941; 1.4828671; -0.1434207; 7.8330638; 4.2470463
179.3513749; 19.7362217; -6.3519011; 1.4298198; -0.1224400; 8.0467274; 4.9854776
179.7508212; 19.3412700; -6.2865497; 1.3854994; -0.0977039; 8.2905177; 5.4886749
180.1502675; 18.9508479; -6.2061831; 1.3518186; -0.0719652; 8.5508797; 6.3264507
180.5497137; 18.5617077; -6.1142896; 1.3274938; -0.0492776; 8.8414760; 6.9012548
180.9491600; 18.1752499; -6.0148919; 1.3115862; -0.0338049; 9.1479538; 7.4018037
181.3486063; 17.7902231; -5.9102931; 1.3001791; -0.0233152; 9.4656381; 7.9410934
181.7480526; 17.4055883; -5.8019351; 1.2928898; -0.0131646; 9.7950184; 8.2545458
182.1474988; 17.0216441; -5.6915637; 1.2893319; -0.0059857; 10.1260496; 8.5613775
182.5469451; 16.6382341; -5.5803405; 1.2879004; -0.0012892; 10.4583221; 8.7644913
182.9463914; 16.2545442; -5.4687332; 1.2876425; 0.0000005; 10.7878815; 8.9205113
183.3458376; 15.8710021; -5.3571629; 1.2878138; 0.0004467; 11.1132766; 9.0733717
183.7452839; 15.4875832; -5.2456974; 1.2879227; 0.0001007; 11.4347526; 9.1266232
184.1447302; 15.1038935; -5.1341797; 1.2879648; 0.0001100; 11.7492450; 9.2815935
184.5441764; 14.7203339; -5.0227179; 1.2880087; 0.0000995; 12.0606697; 9.4284924
184.9436227; 14.3368484; -4.9112940; 1.2880423; 0.0000687; 12.3689978; 9.4949882
185.3430690; 13.9531880; -4.7998311; 1.2880658; 0.0000491; 12.6719210; 9.6463717
185.7425152; 13.5696196; -4.6884030; 1.2880818; 0.0000329; 12.9724321; 9.7898343
186.1419615; 13.1860848; -4.5769902; 1.2880925; 0.0000205; 13.2704567; 9.8667053
186.5414078; 12.8024606; -4.4655549; 1.2880986; 0.0000105; 13.5641977; 10.0147051
186.9408541; 12.4188874; -4.3541362; 1.2881014; 0.0000064; 13.8559782; 10.1562067
187.3403003; 12.0353137; -4.2427185; 1.2881044; 0.0000086; 14.1457361; 10.2401334
187.7397466; 11.6517278; -4.1312975; 1.2880996; -0.0000334; 14.4319997; 10.3851103
188.1391929; 11.2681481; -4.0198728; 1.2880781; -0.0000727; 14.7166301; 10.5245900
188.5386391; 10.8845473; -3.9084299; 1.2880419; -0.0001085; 14.9995740; 10.6140095
188.9380854; 10.5009703; -3.7969715; 1.2879594; -0.0003076; 15.2796162; 10.7089922
189.3375317; 10.1173987; -3.6854592; 1.2877318; -0.0011799; 15.5570565; 10.7925971
189.7369779; 9.7338883; -3.5737633; 1.2869417; -0.0027759; 15.8317444; 10.6586919
190.1364242; 9.3504987; -3.4616560; 1.2856227; -0.0038168; 16.0984248; 10.6972514
190.5358705; 8.9672781; -3.3489670; 1.2839432; -0.0043163; 16.3617002; 10.7239333
190.9353167; 8.5842483; -3.2356206; 1.2822346; -0.0042382; 16.6214471; 10.6419684
191.3347630; 8.2014172; -3.1216271; 1.2805520; -0.0041875; 16.8752569; 10.6829250
191.7342093; 7.8187741; -3.0069925; 1.2788908; -0.0041219; 17.1262606; 10.7129647
192.1336556; 7.4363156; -2.8917268; 1.2772608; -0.0040392; 17.3743291; 10.6402799
192.5331018; 7.0540532; -2.7758461; 1.2756569; -0.0039928; 17.6172572; 10.6760653
192.9325481; 6.6719714; -2.6593543; 1.2740687; -0.0039720; 17.8576813; 10.7012878
193.3319944; 6.2900688; -2.5422544; 1.2724808; -0.0039785; 18.0954679; 10.6269329
193.7314406; 5.9083662; -2.4245491; 1.2708701; -0.0040890; 18.3285498; 10.6503322
194.1308869; 5.5268500; -2.3062180; 1.2692048; -0.0043021; 18.5592082; 10.6622819
194.5303332; 5.1455302; -2.1872281; 1.2674214; -0.0046271; 18.7872889; 10.5434346
194.9297794; 4.7644517; -2.0675277; 1.2654155; -0.0054317; 19.0101367; 10.4906064
195.3292257; 4.3836266; -1.9469962; 1.2630477; -0.0066211; 19.2293048; 10.4152512
195.7286720; 4.0031096; -1.8254507; 1.2600809; -0.0082326; 19.4444550; 9.8668102
196.1281182; 3.6230361; -1.7026298; 1.2561864; -0.0113207; 19.6461027; 9.0765010
196.5275645; 3.2435098; -1.5780885; 1.2510509; -0.0143137; 19.8297882; 8.1386937
196.9270108; 2.8646699; -1.4513700; 1.2447703; -0.0171290; 19.9930598; 0.3471512
197.3264571; 2.4867570; -1.3221239; 1.2376936; -0.0182343; 19.9999945; -0.0000004
197.7259033; 2.1097583; -1.1901191; 1.2302539; -0.0187231; 19.9999944; 0.0000001
198.1253496; 1.7337118; -1.0552874; 1.2228059; -0.0185641; 19.9999944; 0.0000002
198.5247959; 1.3587615; -0.9177195; 1.2155492; -0.0177404; 19.9999945; 0.0000002
198.9242421; 0.9847383; -0.7774779; 1.2086515; -0.0166867; 19.9999945; 0.0000002
199.3236884; 0.6116195; -0.6347335; 1.2022445; -0.0153898; 19.9999945; 0.0000002
199.7231347; 0.2394747; -0.4897381; 1.1963947; -0.0138908; 19.9999945; 0.0000002
200.1225809; -0.1319207; -0.3426562; 1.1911504; -0.0123444; 19.9999945; 0.0000002
200.5220272; -0.5026086; -0.1937361; 1.1865375; -0.0107513; 19.9999945; 0.0000001
200.9214735; -0.8725844; -0.0432535; 1.1825612; -0.0091603; 19.9999945; 0.0000001
201.3209197; -1.2420572; 0.1086024; 1.1792188; -0.0075751; 19.9999945; 0.0000001
201.7203660; -1.6110747; 0.2615782; 1.1765085; -0.0059957; 19.9999945; 0.0000001
202.1198123; -1.9796852; 0.4154228; 1.1744131; -0.0045064; 19.9999945; 0.0000000
202.5192586; -2.3480502; 0.5699438; 1.1729140; -0.0029473; 19.9999945; -0.0000000
202.9187048; -2.7162282; 0.7248949; 1.1720755; -0.0012511; 19.9999945; 0.0000000
203.3181511; -3.0843138; 0.8800356; 1.1718183; -0.0001148; 19.9999945; 0.0000000
203.7175974; -3.4523996; 1.0351970; 1.1719669; 0.0007227; 19.9999945; -0.0000001
204.1170436; -3.8205238; 1.1902543; 1.1723445; 0.0011678; 19.9999945; -0.0000000
204.5164899; -4.1887238; 1.3451365; 1.1729401; 0.0018557; 19.9999945; -0.0000001
204.9159362; -4.5570382; 1.4997455; 1.1738307; 0.0026249; 19.9999945; -0.0000001
205.3153824; -4.9255115; 1.6539661; 1.1750466; 0.0034634; 19.9999945; -0.0000001
205.7148287; -5.2942095; 1.8076787; 1.1766223; 0.0044558; 19.9999945; -0.0000001
206.1142750; -5.6631693; 1.9607300; 1.1786111; 0.0055408; 19.9999945; -0.0000001
206.5137212; -6.0324676; 2.1129626; 1.1810678; 0.0067598; 19.9999945; -0.0000001
206.9131675; -6.4021943; 2.2642028; 1.1840334; 0.0081201; 19.9999945; -0.0000001
207.3126138; -6.7723848; 2.4142326; 1.1875591; 0.0095598; 19.9999945; -0.0000001
207.7120601; -7.1431545; 2.5628497; 1.1916861; 0.0111047; 19.9999945; -0.0000001
208.1115063; -7.5145993; 2.7098277; 1.1964379; 0.0126980; 19.9999945; -0.0000001
208.5109526; -7.8867482; 2.8549054; 1.2018311; 0.0142960; 19.9999945; -0.0000001
208.9103989; -8.2597389; 2.9978637; 1.2078520; 0.0158507; 19.9999945; -0.0000001
209.3098451; -8.6336387; 3.1384646; 1.2144686; 0.0172273; 19.9999945; -0.0000001
209.7092914; -9.0084591; 3.2764755; 1.2216063; 0.0184258; 19.9999945; -0.0000001
210.1087377; -9.3843091; 3.4117397; 1.2291250; 0.0192191; 19.9999945; -0.0000000
210.5081839; -9.7611829; 3.5441218; 1.2368745; 0.0194030; 19.9999945; -0.0000093
210.9076302; -10.1390503; 3.6735728; 1.2446008; 0.0190925; 19.9999943; -0.0000472
211.3070765; -10.5179072; 3.8001603; 1.2519717; 0.0178124; 19.9999933; -5.9320598
211.7065228; -10.8976421; 3.9240589; 1.2586847; 0.0154708; 19.8811633; -8.7911439
212.1059690; -11.2781417; 4.0456118; 1.2643001; 0.0126230; 19.7037427; -9.8321218
212.5054153; -11.6592469; 4.1652462; 1.2687490; 0.0096525; 19.5034014; -10.1595432
212.9048616; -12.0408097; 4.2833976; 1.2721443; 0.0076720; 19.2942034; -10.3120171
213.3043078; -12.4227518; 4.4003834; 1.2749141; 0.0063081; 19.0795202; -10.4799213
