center_x,center_y,inner_x,inner_y,outer_x,outer_y,dist_inner,dist_outer
116.0,122.0,122.0,101.99607843137255,115.0,140.00392156862745,20.884369229732517,18.031671909428937
110.0,122.0,110.0,100.99607843137255,110.0,140.00392156862745,21.003921568627447,18.003921568627447
104.0,121.0,104.0,100.99607843137255,104.0,140.00392156862745,20.003921568627447,19.003921568627447
98.0,121.0,103.0,100.99607843137255,101.0,140.00392156862745,20.619332630417464,19.239257651649233
92.0,122.0,89.0,99.99607843137255,101.0,140.00392156862745,22.207488925997648,20.128119431513927
86.0,124.0,65.99607843137255,121.0,96.0,142.00392156862745,20.227626606297594,20.594688437781443
80.0,129.0,64.99607843137255,124.0,92.0,144.00392156862745,15.815108676121197,19.212435099110262
77.0,135.0,63.99607843137255,126.0,89.0,147.00392156862745,15.81461274148103,16.97333594275914
73.0,141.0,59.99607843137255,132.0,87.00392156862745,149.0,15.81461274148103,16.127920489023655
71.0,147.0,54.99607843137255,145.0,85.00392156862745,153.0,16.12840678972287,15.235150780358856
70.0,153.0,54.99607843137255,145.0,84.00392156862745,155.0,17.00346030775865,14.14601778947945
69.0,159.0,52.99607843137255,151.0,84.00392156862745,159.0,17.892051463562773,15.003921568627447
68.0,165.0,49.99607843137255,159.0,84.00392156862745,165.0,18.977386328187784,16.003921568627447
67.0,171.0,48.99607843137255,168.0,85.00392156862745,171.0,18.252155813746732,18.003921568627447
67.0,177.0,49.99607843137255,183.0,85.00392156862745,179.0,18.031454425864645,18.11466786472467
67.0,183.0,49.99607843137255,183.0,85.00392156862745,183.0,17.003921568627447,18.003921568627447
67.0,189.0,49.99607843137255,189.0,85.00392156862745,184.0,17.003921568627447,18.68532022335418
67.0,195.0,49.99607843137255,194.0,86.00392156862745,190.0,17.033301168946487,19.650675178897632
67.0,201.0,48.99607843137255,201.0,88.00392156862745,198.0,18.003921568627447,21.217085597721788
68.0,207.0,48.99607843137255,201.0,89.00392156862745,203.0,19.928598420023008,21.381410647126472
69.0,213.0,47.99607843137255,205.0,90.00392156862745,206.0,22.475869755385514,22.13966398256878
