# c_x,c_y,i_x,i_y,o_x,o_y,i_d,o_d,vel
-47.59669979,15.52254656,-48.895606832071095,15.598909356042356,-46.78324774116201,15.341209356042356,1.3011497917462396,0.8334191126305587,3.4156291899999998
-47.48003015,15.906190559999999,-48.853524508838774,16.200209356042357,-46.74255036353963,15.985459356042355,1.4046116211209914,0.7417276976516628,3.42581995
-47.35500426,16.28947976,-48.806903568667835,16.586759356042357,-46.700297842172105,16.286109356042353,1.4820211741851872,0.6547150931266768,3.43598177
-47.22096543,16.66731038,-48.684110619949884,17.145109356042354,-46.65725472564094,16.500859356042355,1.5391834550762964,0.5877718108122714,3.4467183599999998
-47.08116043,17.03535917,-48.507538397727664,17.617559356042356,-46.57127202345866,16.715609356042357,1.5406203826532563,0.6018522498514145,3.4612026899999995
-46.93618634,17.39226714,-47.94680228661655,18.392140390525114,-46.44355228661655,16.843935575554553,1.421650839225767,0.7371267293486229,3.46892331
-46.74993449,17.74917086,-47.517302286616555,18.73552259133647,-46.31470228661655,16.967173641756645,1.2496971926009102,0.8949562672010053,3.4489380400000003
-46.53740573,18.09957983,-47.259602286616555,18.90963852270903,-46.05700228661655,17.143948545231538,1.0852478758432422,1.0695880612847628,3.4043047
-46.34016767,18.454685,-46.95895228661655,19.123493731042352,-45.58455228661655,17.486323244931242,0.9111528524236598,1.2282829870537026,3.33443921
-46.1782858,18.8201936,-46.679777286616556,19.378509356042358,-45.10351228661655,17.918209356042354,0.7504733137121102,1.4031085779149264,3.26337526
-46.04147253,19.18781719,-46.533031453283215,19.550309356042355,-44.80286228661655,18.304759356042354,0.6107624296741175,1.5211661556609704,3.1915040699999997
-45.911148850000004,19.560069910000003,-46.44448598226872,19.765059356042357,-44.424161769375175,19.077859356042353,0.571374806624665,1.56322026480381,3.1151451999999997
-45.789896850000005,19.9385676,-46.40176309742736,19.979809356042352,-44.294262703283216,19.722109356042353,0.6132545859447719,1.5112166198803152,3.02309892
-45.67624741,20.32420101,-46.4011674181955,20.452259356042354,-44.2527841384684,20.452259356042354,0.7361439793092535,1.4292118896057913,2.9040244
-45.56996606,20.712121959999998,-46.40264752471179,20.667009356042357,-44.252875037939305,20.709959356042354,0.8339026134450058,1.317092797508498,2.75624573
-45.46558096,21.09747218,-46.44379632070746,21.225359356042354,-44.29298442947369,21.096509356042354,0.9865396199444431,1.172596925815646,2.61583614
-45.35346595,21.482199689999998,-46.40776061994988,21.697809356042356,-44.29462061994988,21.483059356042354,1.0761155974966765,1.0588456790272363,2.49468457
-45.22953425,21.862723109999997,-46.35913332109931,22.127309356042353,-44.25200100456527,21.869609356042353,1.1601723764265388,0.9775575002600654,2.38847351
-45.09119133,22.23686909,-46.27891061994988,22.556809356042358,-44.20856154587581,22.084359356042356,1.230056456246748,0.8957089676758557,2.2947284100000003
-44.93505182,22.60365396,-46.147674508838776,23.029259356042353,-44.12305923106099,22.385009356042353,1.2851434700557582,0.84091463736319,2.2090959999999997
-44.75751126,22.96233698,-45.97417014375941,23.501709356042355,-43.992538953283216,22.728609356042355,1.3308573926113434,0.7998820114519928,2.1251949199999998
-44.557460379999995,23.30724613,-45.84307824815501,23.802359356042352,-43.81823353661655,23.072209356042357,1.3776612099937744,0.7756923430658982,2.0713997500000003
-44.33399685,23.637388530000003,-45.501720143759414,24.403659356042354,-43.736572023458656,23.201059356042357,1.3966920453815028,0.7397969798630661,2.06663404
-44.08752687,23.95119025,-45.33043145328322,24.661359356042354,-43.56395001388928,23.458759356042357,1.4314859280913075,0.7187634587113507,2.08797241
-43.81929123,24.24684368,-44.76850228661655,25.35015009678309,-43.222302286616554,23.84483213382014,1.4554335021971474,0.7197284778192418,2.10889568
-43.53102478,24.52336055,-44.51080228661655,25.60733310604236,-43.00755228661655,24.059515685156278,1.4611503908649357,0.6994108306074321,2.12946072
-43.22448501,24.77955879,-44.08130228661655,25.960596856042358,-42.835752286616554,24.22326935604235,1.4591047799762937,0.6786538621138416,2.1496807
-42.901712509999996,25.01436276,-43.52295228661655,26.347146856042357,-42.40625228661655,24.5294414988995,1.4704598963297262,0.6932744495670335,2.1696169000000003
