# c_x,c_y,i_x,i_y,o_x,o_y,i_d,o_d,vel
-23.29314283620756,11.521694482423683,-23.177973801044857,12.563820334582005,-23.435658475263413,10.45597986984124,1.0484704089276986,1.0752015359211708,0.0
-23.391974994330774,11.537883926309751,-23.277122535646697,12.576807214158704,-23.53480385993193,10.468922174168988,1.0452524505116716,1.0784615488689269,0.0
-23.490865274046456,11.553195088621326,-23.376269695752658,12.589801866168258,-23.63394807162694,10.481870468711982,1.0429217409857394,1.080837234826483,0.0
-23.589836720518065,11.567423210914603,-23.475415395040848,12.602804018402555,-23.733091246146543,10.49482487890268,1.0416840481827332,1.082122470401479,0.0
-23.688912378909045,11.580363534745786,-23.57455974718939,12.615813398653493,-23.832233519288767,10.507785530173507,1.041745144000058,1.0821111427076218,0.0
-23.78811529438284,11.591811301671086,-23.673702865876386,12.628829734712962,-23.93137502685169,10.520752547956912,1.043310804250283,1.0805971519742252,0.0
-23.88746583908699,11.601590498206063,-23.77284486477998,12.641852754372865,-24.03051590463339,10.533726057685337,1.0465579436210555,1.0774032599641938,0.0
-23.9869254369881,11.61015902518816,-23.871985857578245,12.654882185425077,-24.12965628843191,10.546706184791224,1.0510269208970453,1.0729883688568977,0.0
-24.08639793670998,11.618593934610942,-23.971125957949326,12.667917755661511,-24.228796314045326,10.559693054707017,1.0556363533488051,1.0684326704706513,0.0
-24.18578478847597,11.627998070280217,-24.07026527957132,12.680959192874047,-24.327936117271722,10.572686792865161,1.0592789446749287,1.0648421913681834,0.0
-24.284987442509415,11.6394742760018,-24.169403936122357,12.69400622485459,-24.42707583390913,10.585687524698093,1.0608473868092378,1.0633229181174366,0.0
-24.383913481900112,11.654056492282901,-24.268542041280533,12.70705857939502,-24.526215599755627,10.598695375638256,1.0593035281604215,1.0649117236990107,0.0
-24.482600694512588,11.671315797442878,-24.36767970872397,12.720115984287242,-24.625355550609292,10.611710471118098,1.0550775634518064,1.0691783745077499,0.0
-24.581211315500756,11.689425093471126,-24.466817052130775,12.733178167323137,-24.724495822268164,10.624732936570052,1.050003107932297,1.0742903885105932,0.0
-24.679912560649555,11.70650132452587,-24.565954185179084,12.746244856294613,-24.82363655053033,10.637762897426565,1.045969943733952,1.0783591288740249,0.0
-24.778871645743926,11.720661434765338,-24.66509122154699,12.759315778993555,-24.92277787119385,10.650800479120086,1.0448678537090619,1.0794959315057266,0.0
-24.878244296555675,11.730152545691814,-24.764228274912618,12.772390663211862,-25.02191992005678,10.663845807083051,1.0484559822915998,1.075942724121915,0.0
